instance_id,seed,demand_volatility,n_scenarios,ef_time,ef_objective
arch_round2_s59_v0.2_k40,59,0.2,40,0.07684691700160329,1978.017405359652
arch_round2_s59_v0.2_k60,59,0.2,60,0.7145452919994568,1928.7496619433
arch_round2_s59_v0.3_k20,59,0.3,20,0.03228345800016541,1963.632880966119
arch_round2_s59_v0.3_k30,59,0.3,30,0.05286066699954972,2024.443155110018
arch_round2_s59_v0.3_k40,59,0.3,40,0.07622887499928765,2051.375530127036
arch_round2_s59_v0.3_k60,59,0.3,60,0.13884133299870882,1942.1663932199544
arch_round2_s60_v0.2_k20,60,0.2,20,0.07378229200003261,2067.214091583911
arch_round2_s60_v0.2_k30,60,0.2,30,0.1574045830002433,2064.745107025886
arch_round2_s60_v0.2_k40,60,0.2,40,0.07913820799876703,2093.39606566402
arch_round2_s60_v0.2_k60,60,0.2,60,0.13574154200068733,2123.5006250244223
arch_round2_s60_v0.3_k20,60,0.3,20,0.03382537500147009,2074.5245660369906
arch_round2_s60_v0.3_k30,60,0.3,30,0.05815837500085763,2081.572132592786
arch_round2_s60_v0.3_k40,60,0.3,40,0.07734229100060475,2146.098638607065
arch_round2_s60_v0.3_k60,60,0.3,60,0.13506449999840697,2210.820026938264
